Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Volume,Has Bandstructure,Crystal System
mp-767838,LiFeSiO4,P21,-2.56,0.062,2.727,28,2.889,356.057,TRUE,monoclinic
mp-762571,Li2Fe(Si2O5)2,P21/c,-2.913,0.062,3.661,68,2.417,940.148,FALSE,monoclinic
mp-765416,Li2Fe2Si8O19,C2,-2.955,0.063,3.031,31,2.711,400.68,TRUE,monoclinic
mp-762723,Li3Fe2(SiO4)2,P21,-2.561,0.063,1.259,30,2.943,357.383,FALSE,monoclinic
mp-762586,LiFeSiO4,P21,-2.555,0.066,2.576,28,3.068,335.324,TRUE,monoclinic
mp-761546,LiFeSiO4,P2,-2.553,0.068,2.736,84,2.499,1234.971,FALSE,monoclinic
mp-778622,Li3Fe2(SiO4)2,Pc,-2.556,0.069,1.923,30,2.891,363.781,TRUE,monoclinic
mp-762646,LiFeSiO4,P21/c,-2.553,0.069,2.164,56,3.289,625.575,TRUE,monoclinic
mp-767963,Li2FeSi3O8,P21,-2.84,0.069,3.081,28,2.665,351.384,TRUE,monoclinic
mp-762535,Li2Fe2(SiO3)3,P21/c,-2.696,0.072,3.017,64,2.611,899.949,FALSE,monoclinic
mp-762539,Li2FeSiO4,P21/c,-2.553,0.073,2.649,32,2.877,373.622,TRUE,monoclinic
mp-762562,Li2Fe(Si2O5)2,P21/m,-2.898,0.077,3.171,68,2.518,902.44,TRUE,monoclinic
mp-761782,Li7Fe3(SiO6)2,C2/m,-2.409,0.078,1.658,24,3.692,208.83,TRUE,monoclinic
mp-767149,Li2FeSi3O8,P21,-2.827,0.081,2.614,28,2.719,344.39,TRUE,monoclinic
mp-762541,Li4Fe(SiO3)3,C2,-2.758,0.082,3.073,34,2.702,383.352,TRUE,monoclinic
mp-761991,Li3Fe3SiO8,P2/m,-2.257,0.083,1.476,15,3.942,145.111,TRUE,monoclinic
mp-762585,LiFeSiO4,P21/c,-2.528,0.094,2.351,28,3.058,336.427,TRUE,monoclinic
mp-766984,Li2Fe(Si2O5)3,P21,-2.89,0.095,0.332,48,2.555,621.599,TRUE,monoclinic
mp-762714,Li2FeSi4O11,C2/c,-2.785,0.098,0.03,36,2.788,426.538,FALSE,monoclinic
mp-761452,Li2Fe(Si2O5)3,Cc,-2.876,0.109,0.264,48,2.309,687.797,TRUE,monoclinic
mp-780871,LiFe2(SiO4)2,P2,-2.423,0.117,2.528,78,2.474,1219.453,FALSE,monoclinic
mp-763301,Li2CoSiO4,Pc,-2.537,0,2.957,16,3.216,170.265,TRUE,monoclinic
mp-764958,Li2CoSiO4,P21,-2.523,0.014,2.934,16,3.201,171.08,TRUE,monoclinic
mp-763512,Li2CoSiO4,P21/c,-2.516,0.02,2.769,32,3.15,347.706,TRUE,monoclinic
mp-763470,Li2CoSiO4,P21/c,-2.515,0.021,2.827,32,3.108,352.365,TRUE,monoclinic
mp-764634,Li2CoSiO4,C2/m,-2.51,0.027,2.457,16,3.088,177.349,TRUE,monoclinic
mp-763396,Li4Co2Si3O10,C2/c,-2.617,0.038,2.876,38,3.078,420.615,TRUE,monoclinic
mp-763465,Li2CoSiO4,P21/c,-2.495,0.042,2.684,32,3.13,349.97,TRUE,monoclinic
mp-781591,Li3Co2(SiO4)2,Pc,-2.452,0.043,0,30,3.115,344.253,TRUE,monoclinic
mp-763382,Li2Co2Si2O7,P21/c,-2.478,0.047,2.825,52,3.322,599.601,TRUE,monoclinic
mp-763575,Li10Co(SiO5)2,C2/m,-2.444,0.048,1.941,46,2.409,474.87,TRUE,monoclinic
mp-773761,LiCo(SiO3)2,Cc,-2.638,0.052,1.711,20,2.745,263.753,TRUE,monoclinic
mp-763389,Li2Co(SiO3)2,C2/c,-2.687,0.053,3.233,22,2.861,261.142,TRUE,monoclinic
mp-762751,Li3Co2(SiO4)2,Pc,-2.438,0.057,0.315,30,3.035,353.345,FALSE,monoclinic
mp-767356,LiCo(SiO3)2,C2/c,-2.632,0.058,1.238,20,3.405,212.692,TRUE,monoclinic
mp-762812,Li3Co2(SiO4)2,Pc,-2.436,0.059,0.35,30,3.052,351.323,FALSE,monoclinic
mp-762978,LiCoSiO4,Cc,-2.376,0.06,1.281,112,2.998,1399.85,FALSE,monoclinic
mp-774355,Li3Co2(SiO4)2,Pc,-2.433,0.063,0.541,30,3.092,346.722,TRUE,monoclinic
mp-763592,LiCoSiO4,Pc,-2.372,0.063,1.468,28,2.961,354.341,TRUE,monoclinic
mp-763255,LiCoSiO4,Pc,-2.372,0.064,1.373,14,2.964,176.961,TRUE,monoclinic
mp-779186,Li3Co2(SiO4)2,P21,-2.431,0.064,0.022,30,3.032,353.617,TRUE,monoclinic
mp-762886,LiCoSiO4,P21/c,-2.369,0.066,1.374,28,3.015,347.967,TRUE,monoclinic
mp-763256,LiCoSiO4,Pc,-2.369,0.067,1.59,14,2.998,174.957,TRUE,monoclinic
mp-763399,Li2Co2(SiO3)3,P21/c,-2.598,0.069,2.727,64,2.739,872.856,TRUE,monoclinic
mp-765005,Li2Co(SiO3)2,P21,-2.669,0.072,2.883,22,2.947,253.565,TRUE,monoclinic
mp-763385,Li2Co(Si2O5)2,P21/c,-2.858,0.075,3.254,68,2.429,943.786,FALSE,monoclinic
mp-779222,Li3Co2(SiO4)2,Pc,-2.418,0.078,0.147,30,3.003,357.078,TRUE,monoclinic
mp-763313,LiCoSiO4,P21,-2.357,0.079,1.434,14,2.952,177.732,TRUE,monoclinic
mp-762976,LiCoSiO4,P21/c,-2.352,0.083,1.403,84,3.017,1043.295,FALSE,monoclinic
mp-764963,Li2CoSi3O8,P21,-2.772,0.085,3.159,28,2.771,341.661,TRUE,monoclinic
mp-763253,LiCoSiO4,Pc,-2.349,0.086,1.474,14,3.096,169.421,TRUE,monoclinic
mp-764463,Li3Co2Si3O10,Cc,-2.539,0.089,0.724,36,2.914,436.508,TRUE,monoclinic
mp-762974,LiCoSiO4,P21/c,-2.347,0.089,1.494,84,2.999,1049.613,FALSE,monoclinic
mp-763384,Li2Co(Si2O5)2,P21/m,-2.842,0.091,2.499,68,2.564,894.099,FALSE,monoclinic
mp-763364,Li4Co(SiO3)3,C2,-2.706,0.092,2.938,34,2.754,379.735,TRUE,monoclinic
mp-763500,LiCoSiO4,P21/c,-2.341,0.095,0.892,28,3.84,273.243,TRUE,monoclinic
mp-850488,LiCoSiO4,Pc,-2.338,0.098,1.255,28,3.019,347.495,FALSE,monoclinic
mp-763246,LiCoSiO4,Pc,-2.338,0.098,1.386,14,2.841,184.681,TRUE,monoclinic
mp-767301,Li3Co2(SiO4)2,C2,-2.396,0.099,0.637,15,2.931,182.928,TRUE,monoclinic
mp-762293,LiCoSiO4,Cc,-2.333,0.102,1.266,14,2.884,181.921,TRUE,monoclinic
mp-849671,Li5Co2(SiO5)2,Pc,-2.301,0.103,0.235,38,2.838,431.503,TRUE,monoclinic
mp-765142,LiCoSiO4,Cc,-2.332,0.104,1.552,14,2.724,192.593,TRUE,monoclinic
mp-566680,Li2MnSiO4,P21nm,-2.705,0,3.052,16,3.039,175.842,TRUE,orthorhombic
mp-763876,Li2MnSiO4,Pcmn,-2.705,0,3.07,32,3.013,354.747,TRUE,orthorhombic
mp-849238,Li2MnSiO4,Pmnb,-2.695,0.01,2.882,32,2.97,359.824,TRUE,orthorhombic
mp-775454,Li2MnSiO4,Pna21,-2.694,0.011,2.88,32,2.957,361.437,TRUE,orthorhombic
mp-780918,Li2MnSiO4,Pna21,-2.694,0.011,2.965,32,2.926,365.204,TRUE,orthorhombic
mp-780833,Li2MnSiO4,C2221,-2.691,0.014,2.962,16,2.882,185.391,TRUE,orthorhombic
mp-850110,Li2Mn(SiO3)2,Fdd2,-2.849,0.014,3.487,22,2.74,267.86,TRUE,orthorhombic
mp-768020,Li2MnSiO4,Pbn21,-2.685,0.019,2.823,32,2.997,356.585,TRUE,orthorhombic
mp-868361,Li2Mn2Si2O7,C2cm,-2.712,0.033,2.869,26,3.3,293.746,TRUE,orthorhombic
mp-761776,LiMn(SiO3)2,Pbca,-2.824,0.036,0.037,80,3.343,850.626,FALSE,orthorhombic
mp-780533,LiMnSiO4,Pmnb,-2.632,0.046,0.99,28,3.598,284.227,TRUE,orthorhombic
mp-762836,Li3Mn(Si2O5)3,Cmce,-2.972,0.051,1.369,100,2.603,1235.941,FALSE,orthorhombic
mp-780325,LiMnSiO4,Cmcm,-2.626,0.052,0,14,3.609,141.676,TRUE,orthorhombic
mp-762828,LiMnSiO4,Pna21,-2.623,0.054,0.11,84,3.55,864.216,FALSE,orthorhombic
mp-850152,Li2MnSiO4,Pca21,-2.65,0.054,2.852,64,2.8,763.324,TRUE,orthorhombic
mp-761523,Li2Mn2(Si2O5)3,Cmce,-2.95,0.055,3.376,100,2.634,1342.122,FALSE,orthorhombic
mp-761666,Li3Mn(Si2O5)3,Pcmn,-2.968,0.055,1.154,100,2.76,1165.318,FALSE,orthorhombic
mp-762845,Li4Mn2Si4O13,Pna21,-2.757,0.059,1.363,92,3.047,998.5,FALSE,orthorhombic
mp-775449,Li2Mn(SiO3)2,Fdd2,-2.802,0.061,3.072,66,2.661,827.376,TRUE,orthorhombic
mp-850153,Li2Mn2(SiO3)3,Pnma,-2.779,0.067,3.077,64,3.034,770.62,TRUE,orthorhombic
mp-780089,Li3MnSi2O7,Pbnm,-2.709,0.069,1.472,52,2.895,559.694,TRUE,orthorhombic
mp-761485,Li2Mn(SiO3)2,Pmn21,-2.791,0.072,2.607,66,2.933,750.79,TRUE,orthorhombic
mp-849442,Li2Mn(Si2O5)2,P212121,-2.939,0.073,3.783,68,2.29,989.646,FALSE,orthorhombic
mp-780825,LiMnSiO4,Pcmn,-2.603,0.074,1.059,28,3.325,307.52,TRUE,orthorhombic
mp-774444,Li2Mn3(SiO3)4,Pnma,-2.762,0.076,1.527,84,2.856,1123.305,FALSE,orthorhombic
mp-780637,Li3MnSiO5,P21nb,-2.529,0.077,0.235,40,2.798,436.412,TRUE,orthorhombic
mp-763718,Li2Mn(SiO3)2,Pm21n,-2.784,0.079,2.76,66,2.933,750.671,TRUE,orthorhombic
mp-767364,Li2Mn2Si2O7,C2cm,-2.666,0.079,2.696,26,2.944,329.286,TRUE,orthorhombic
mp-761619,LiMn(SiO3)2,Pbca,-2.78,0.08,1.2,80,3.306,860.04,TRUE,orthorhombic
mp-775156,LiMnSiO4,Pbca,-2.595,0.082,1.267,56,2.994,683.102,TRUE,orthorhombic
mp-849469,Li2Mn2(SiO3)3,Pnma,-2.764,0.083,3.248,64,2.436,959.619,FALSE,orthorhombic
mp-850969,LiMnSiO4,Pna21,-2.591,0.087,1.569,28,2.988,342.286,TRUE,orthorhombic
mp-780790,Li2Mn2Si2O9,Pnca,-2.481,0.088,0.889,60,3.573,602.169,TRUE,orthorhombic
mp-780750,LiMnSiO4,Ibmm,-2.584,0.093,0,14,3.855,132.65,TRUE,orthorhombic
mp-761352,LiMnSiO4,Imma,-2.581,0.097,0.903,14,3.739,136.74,TRUE,orthorhombic
mp-764790,Li2FeSiO4,Pcmn,-2.626,0,3.121,32,3.094,347.336,TRUE,orthorhombic
mp-18968,Li2FeSiO4,P21nm,-2.626,0.001,3.124,16,3.123,172.094,TRUE,orthorhombic
mp-761416,LiFe(SiO3)2,Pbca,-2.818,0.003,2.745,80,3.333,856.726,TRUE,orthorhombic
mp-764346,Li2FeSiO4,P21cn,-2.621,0.005,2.993,32,3.065,350.604,TRUE,orthorhombic
mp-763645,Li2FeSiO4,Pmnb,-2.621,0.005,3.089,32,3.049,352.518,TRUE,orthorhombic
mp-764341,Li3FeSiO5,P21nb,-2.56,0.008,2.314,40,2.831,433.391,TRUE,orthorhombic
mp-762557,Li2FeSiO4,Pna21,-2.618,0.009,2.946,32,3.01,357.063,TRUE,orthorhombic
mp-863851,LiFeSiO4,Pbnm,-2.611,0.01,2.3,28,3.563,288.72,TRUE,orthorhombic
mp-765849,LiFe(SiO3)2,C222,-2.81,0.011,3.023,10,2.523,141.451,TRUE,orthorhombic
mp-762566,Li2FeSiO4,C2221,-2.615,0.011,2.965,16,2.948,182.303,TRUE,orthorhombic
mp-762540,Li2FeSiO4,Pbn21,-2.613,0.014,2.924,32,3.07,350.111,TRUE,orthorhombic
mp-767964,Li2Fe(SiO3)2,Fdd2,-2.791,0.015,3.314,22,2.807,262.576,TRUE,orthorhombic
mp-762581,LiFeSiO4,Pn21a,-2.604,0.018,2.961,28,2.89,355.979,TRUE,orthorhombic
mp-764340,Li2FeSiO4,Pc21n,-2.607,0.02,2.957,32,2.986,359.989,TRUE,orthorhombic
mp-763641,LiFeSiO4,Pb21a,-2.598,0.023,2.959,56,2.881,714.127,TRUE,orthorhombic
mp-762799,LiFeSiO4,Pb21a,-2.598,0.024,2.979,56,2.875,715.629,TRUE,orthorhombic
mp-763635,LiFeSiO4,Pna21,-2.597,0.025,2.963,28,2.866,358.902,TRUE,orthorhombic
mp-767253,LiFeSiO4,C2221,-2.597,0.025,2.874,14,2.863,179.638,TRUE,orthorhombic
mp-766714,Li3Fe(Si2O5)3,Cmce,-2.976,0.032,3.386,100,2.592,1243.201,FALSE,orthorhombic
mp-762643,LiFeSiO4,Cmcm,-2.588,0.034,1.657,14,3.628,141.773,TRUE,orthorhombic
mp-766664,LiFeSiO4,Pna21,-2.587,0.035,1.675,84,3.644,846.947,TRUE,orthorhombic
mp-761764,Li3Fe(Si2O5)3,Pcmn,-2.971,0.037,3.262,100,2.735,1178.251,FALSE,orthorhombic
mp-762844,Li4Fe2Si4O13,Pna21,-2.743,0.038,2.78,92,3.104,983.89,FALSE,orthorhombic
mp-868323,LiFeSiO4,Pbnm,-2.582,0.04,1.989,28,3.634,283.063,TRUE,orthorhombic
mp-767850,LiFeSiO4,Pc21n,-2.58,0.042,2.87,28,2.914,353,TRUE,orthorhombic
mp-766989,LiFe(Si2O5)2,Pnc2,-2.952,0.043,3.053,32,2.798,397.806,TRUE,orthorhombic
mp-761405,Li2Fe2Si2O7,C2cm,-2.603,0.046,3.129,26,3.414,285.751,TRUE,orthorhombic
mp-773415,Li2Fe2(Si2O5)3,Cmce,-2.904,0.05,3.152,100,2.651,1338.234,FALSE,orthorhombic
mp-761767,LiFe(SiO3)2,Pbca,-2.77,0.051,2.981,80,3.098,921.698,FALSE,orthorhombic
mp-767743,LiFeSiO4,Pbn21,-2.569,0.052,2.833,28,2.869,358.537,TRUE,orthorhombic
mp-762703,LiFeSiO4,P21nb,-2.566,0.055,2.63,28,2.882,356.872,TRUE,orthorhombic
mp-762545,Li2FeSiO4,Pca21,-2.571,0.056,2.78,64,2.875,747.562,TRUE,orthorhombic
mp-762587,LiFeSiO4,Pb21a,-2.565,0.057,2.855,56,2.874,715.92,TRUE,orthorhombic
mp-762570,Li3FeSi2O7,Pbnm,-2.691,0.057,2.512,52,2.89,562.749,TRUE,orthorhombic
mp-851283,LiFeSiO4,Pc21n,-2.564,0.058,2.73,28,2.856,360.121,TRUE,orthorhombic
mp-863911,Li2Fe(SiO3)2,Fdd2,-2.748,0.058,2.917,66,2.723,811.767,TRUE,orthorhombic
mp-762804,LiFeSiO4,P21nb,-2.563,0.059,2.551,28,2.966,346.859,TRUE,orthorhombic
mp-766752,Li7Fe7SiO16,C222,-2.142,0.062,1.438,31,4.186,287.012,TRUE,orthorhombic
mp-863885,LiFe(SiO3)2,C2221,-2.757,0.064,3.23,40,2.375,601.224,TRUE,orthorhombic
mp-775303,Li2Fe(Si2O5)3,Cmce,-2.918,0.067,3.155,96,2.527,1257.084,FALSE,orthorhombic
mp-761559,LiFeSiO4,Pna21,-2.554,0.068,2.603,28,2.934,350.638,TRUE,orthorhombic
mp-761450,LiFeSi3O8,P212121,-2.858,0.069,3.182,52,2.676,682.572,TRUE,orthorhombic
mp-868349,LiFeSiO4,Pna21,-2.551,0.07,2.631,28,2.984,344.706,TRUE,orthorhombic
mp-766964,Li2Fe2SiO6,C222,-2.365,0.072,2.493,11,2.625,157.939,TRUE,orthorhombic
mp-762620,Li2Fe(Si2O5)2,P212121,-2.899,0.076,3.435,68,2.323,977.912,FALSE,orthorhombic
mp-773468,LiFeSiO4,Imma,-2.546,0.076,1.311,14,3.898,131.954,TRUE,orthorhombic
mp-863888,Li2Fe(SiO3)2,Pmn21,-2.73,0.076,2.624,66,3.023,731.236,TRUE,orthorhombic
mp-762576,Li2Fe2Si2O7,C2cm,-2.573,0.076,2.7,26,3.039,320.953,TRUE,orthorhombic
mp-762534,Li2Fe2(SiO3)3,Pnma,-2.69,0.077,3.087,64,3.128,751.301,TRUE,orthorhombic
mp-762648,LiFeSiO4,P212121,-2.544,0.078,1.873,28,3.34,307.957,TRUE,orthorhombic
mp-762533,Li2Fe2(SiO3)3,Pnma,-2.69,0.078,3.114,64,2.573,913.228,FALSE,orthorhombic
mp-762686,LiFeSiO4,Pna21,-2.544,0.078,2.38,28,2.872,358.225,TRUE,orthorhombic
mp-763624,Li2Fe(SiO3)2,Pm21n,-2.726,0.08,2.88,66,3.017,732.676,TRUE,orthorhombic
mp-762696,LiFeSiO4,Pbca,-2.539,0.083,1.791,56,2.96,694.96,TRUE,orthorhombic
mp-762746,Li2Fe2SiO6,Fdd2,-2.348,0.089,2.223,66,2.98,834.696,TRUE,orthorhombic
mp-868335,Li2Fe2Si3O10,F2dd,-2.647,0.092,3.04,34,2.286,537.355,TRUE,orthorhombic
mp-865154,LiFe(Si3O7)2,Icma,-2.981,0.093,2.647,88,2.807,1077.384,FALSE,orthorhombic
mp-762827,Li5Fe(SiO4)2,Pnma,-2.598,0.094,2.082,128,2.655,1374.684,FALSE,orthorhombic
mp-762638,LiFeSiO4,P21nb,-2.527,0.095,2.128,56,2.635,780.749,TRUE,orthorhombic
mp-762775,Li2Fe2Si2O9,Pnca,-2.339,0.111,0.033,60,3.442,628.652,FALSE,orthorhombic
mp-763746,Li2FeSiO5,Pmc21,-2.342,0.112,0,36,3.125,377.974,TRUE,orthorhombic
mp-775750,LiFe(Si2O5)3,Cmce,-2.836,0.122,2.611,92,2.508,1248.278,FALSE,orthorhombic
mp-767128,Li2CoSiO4,P21nm,-2.532,0.005,2.72,16,3.249,168.54,TRUE,orthorhombic
mp-764641,Li2CoSiO4,Pc21n,-2.532,0.005,2.918,32,3.181,344.33,TRUE,orthorhombic
mp-763304,Li2CoSiO4,Pc21n,-2.532,0.005,2.994,32,3.148,347.939,TRUE,orthorhombic
mp-763309,Li2CoSiO4,Pcmn,-2.531,0.006,2.841,32,3.231,338.972,TRUE,orthorhombic
mp-764956,Li2CoSiO4,C2221,-2.527,0.01,2.8,16,3.104,176.442,TRUE,orthorhombic
mp-763391,Li2Co(SiO3)2,F2dd,-2.729,0.012,2.973,22,2.888,258.73,TRUE,orthorhombic
mp-763485,Li2CoSiO4,Pmnb,-2.523,0.014,2.693,32,3.159,346.674,TRUE,orthorhombic
mp-764957,Li2CoSiO4,Pbn21,-2.522,0.015,2.757,32,3.226,339.508,TRUE,orthorhombic
